id,HG,HT,TR,CTH,BD,VH,CTQ,DQT,KS,CVN
./data/img/1.jpg,0,1,0,0,0,0,0,0,0,0
./data/img/10.jpg,1,0,1,0,0,0,0,0,0,0
./data/img/100.jpg,0,1,0,0,0,0,0,0,0,1
./data/img/101.jpg,1,0,1,1,0,0,0,0,0,0
./data/img/102.jpg,1,0,0,0,0,0,0,0,0,0
./data/img/103.jpg,0,1,0,0,0,0,1,0,0,0
./data/img/104.jpg,0,1,0,0,0,0,0,0,0,1
./data/img/105.jpg,1,0,0,1,0,0,0,0,0,0
./data/img/106.jpg,0,1,0,0,0,1,0,0,0,0
./data/img/107.jpg,0,1,0,0,0,0,0,0,1,0
./data/img/108.jpg,0,1,0,0,0,0,0,0,0,1
./data/img/109.jpg,0,1,0,0,0,0,0,1,0,0
./data/img/11.jpg,0,1,0,0,0,0,1,0,0,0
./data/img/110.jpg,0,1,0,0,0,0,1,0,0,0
./data/img/111.jpg,0,1,0,0,0,0,0,1,0,0
./data/img/112.jpg,1,0,0,1,0,0,0,0,0,0
./data/img/113.jpg,1,0,0,1,0,0,0,0,0,0
./data/img/114.jpg,0,1,0,0,0,0,1,0,0,0
./data/img/115.jpg,1,0,0,0,0,1,0,0,0,0
./data/img/116.jpg,1,0,0,1,0,0,0,0,0,0
./data/img/117.jpg,1,0,0,0,0,0,0,0,1,0
./data/img/118.jpg,0,1,0,0,0,0,0,0,0,1
./data/img/119.jpg,1,0,1,0,0,0,0,0,0,0
./data/img/12.jpg,0,1,0,0,0,0,0,0,0,1
./data/img/120.jpg,1,0,1,0,1,0,0,0,0,0
./data/img/121.jpg,0,1,0,0,0,1,0,0,0,0
./data/img/122.jpg,1,0,1,0,1,0,0,0,0,0
./data/img/123.jpg,1,0,1,0,0,1,0,0,0,0
./data/img/124.jpg,0,1,0,0,0,0,0,0,0,0
./data/img/125.jpg,0,1,0,0,0,1,0,0,0,0
./data/img/126.jpg,1,0,0,0,1,0,0,0,0,0
./data/img/127.jpg,0,1,0,0,0,0,1,0,0,0
./data/img/128.jpg,0,1,0,0,0,0,0,1,0,0
./data/img/129.jpg,0,1,0,0,0,0,0,0,0,0
./data/img/13.jpg,0,1,0,0,0,0,1,0,0,0
./data/img/130.jpg,0,1,0,0,0,0,1,0,0,0
./data/img/131.jpg,0,1,0,0,0,0,0,0,0,1
./data/img/132.jpg,0,1,0,0,0,1,0,0,0,0
./data/img/133.jpg,1,0,0,1,0,0,0,0,0,0
./data/img/134.jpg,0,1,0,0,0,0,0,0,0,1
./data/img/135.jpg,1,0,1,0,1,0,0,0,0,0
