id,HG,HT,TR,CTH,BD,VH,CTQ,DQT,KS,CVN
./data/img_full/img0.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img1.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img10.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img100.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img101.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img102.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img103.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img104.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img105.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img106.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img107.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img108.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img109.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img11.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img110.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img111.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img112.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img113.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img114.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img115.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img116.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img117.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img118.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img119.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img12.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img120.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img121.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img122.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img123.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img124.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img125.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img126.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img127.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img128.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img129.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img13.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img130.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img131.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img132.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img133.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img134.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img135.jpg,0,0,0,0,0,0,0,0,0,0
./data/img_full/img136.jpg,0,0,0,0,0,0,0,0,0,0
